x,y
3.7436385,2.3866994
3.5981302,2.042708
4.942481,0.9852464
4.714754,1.4938561
3.5914264,1.6943412
4.0537477,1.7411945
4.365141,2.354028
3.985575,2.138828
3.381614,4.387412
5.0043707,5.4069715
2.4774923,4.9900036
5.371253,2.7152698
3.2587986,3.2553387
4.760094,5.3993797
2.7099946,3.9340363
3.7157528,3.1957965
3.1575038,4.2381244
5.117398,3.7082877
4.0523386,3.9468048
2.9112754,4.6230197
3.7436385,4.3866997
3.5981302,4.042708
4.942481,2.9852464
4.714754,3.493856
3.5914264,3.6943412
4.0537477,3.7411945
4.365141,4.3540277
3.985575,4.138828
